InwardID,ProductID,SKU,GodownID,Quantity,InwardDate,InwardType
1,1,MB-SK302,1,7238,2020-01-15,China Import
2,2,MB-SK303,1,2912,2020-01-15,China Import
3,3,MB-SK304,1,2204,2020-01-15,China Import
4,4,MB-SK305,1,4253,2020-01-15,China Import
5,5,MB-SK306,1,4006,2020-01-15,China Import
6,6,MB-SK307,1,3828,2020-01-15,China Import
7,7,MB-SK308,1,3143,2020-01-15,China Import
8,8,MB-SK309,1,2839,2020-01-15,China Import
9,9,MB-SK310,1,7543,2020-01-15,China Import
10,10,MB-SK311,1,6467,2020-01-15,China Import
11,11,MB-SK312,1,2712,2020-01-15,China Import
12,12,MB-SK313,1,6837,2020-01-15,China Import
13,13,MB-SK314,1,5456,2020-01-15,China Import
14,14,MB-SK315,1,2260,2020-01-15,China Import
15,15,MB-SK316,1,2244,2020-01-15,China Import
16,16,MB-SK317,1,2767,2020-01-15,China Import
17,17,MB-SK318,1,3791,2020-01-15,China Import
18,18,MB-SK319,1,3905,2020-01-15,China Import
19,19,MB-SK320,1,6139,2020-01-15,China Import
20,20,MB-SK321,1,6931,2020-01-15,China Import
21,21,MB-SK322,1,2217,2020-01-15,China Import
22,22,MB-SK323,1,6597,2020-01-15,China Import
23,23,MB-SK324,1,3628,2020-01-15,China Import
24,24,MB-SK325,1,7865,2020-01-15,China Import
25,25,MB-SK326,1,7323,2020-01-15,China Import
26,26,MB-SK327,1,7745,2020-01-15,China Import
27,27,MB-SK328,1,6464,2020-01-15,China Import
28,28,MB-SK329,1,5436,2020-01-15,China Import
29,29,MB-SK330,1,3805,2020-01-15,China Import
30,30,MB-SK331,1,5679,2020-01-15,China Import
31,31,MB-SK332,1,6827,2020-01-15,China Import
32,32,MB-SK333,1,4278,2020-01-15,China Import
33,33,MB-SK334,1,3815,2020-01-15,China Import
34,34,MB-SK335,1,526,2020-01-15,China Import
35,35,MB-SK336,1,3608,2020-01-15,China Import
36,36,MB-SK337,1,3800,2020-01-15,China Import
37,37,MB-SK338,1,1153,2020-01-15,China Import
38,38,MB-SK339,1,3359,2020-01-15,China Import
39,39,MB-SK340,1,2231,2020-01-15,China Import
40,40,MB-SK341,1,1893,2020-01-15,China Import
41,41,MB-SK342,1,1638,2020-01-15,China Import
42,42,MB-SK343,1,1136,2020-01-15,China Import
43,43,MB-SK344,1,1381,2020-01-15,China Import
44,44,MB-SK345,1,3627,2020-01-15,China Import
45,45,MB-SK346,1,1878,2020-01-15,China Import
46,46,MB-SK347,1,918,2020-01-15,China Import
47,47,MB-SK348,1,879,2020-01-15,China Import
48,48,MB-SK349,1,2056,2020-01-15,China Import
49,49,MB-SK350,1,896,2020-01-15,China Import
50,50,MB-SK351,1,1970,2020-01-15,China Import
51,51,MB-SK352,1,3971,2020-01-15,China Import
52,52,MB-SK353,1,1908,2020-01-15,China Import
53,53,MB-SK354,1,2972,2020-01-15,China Import
54,54,MB-SK355,1,1583,2020-01-15,China Import
55,55,MB-SK356,1,3805,2020-01-15,China Import
56,56,MB-SK357,1,677,2020-01-15,China Import
57,57,MB-SK358,1,3488,2020-01-15,China Import
58,58,MB-SK359,1,2381,2020-01-15,China Import
59,59,MB-SK360,1,2696,2020-01-15,China Import
60,60,MB-SK361,1,1011,2020-01-15,China Import
61,61,MB-SK362,1,2050,2020-01-15,China Import
62,62,MB-SK363,1,822,2020-01-15,China Import
63,63,MB-SK364,1,2761,2020-01-15,China Import
64,64,MB-SK365,1,1700,2020-01-15,China Import
65,65,MB-SK366,1,3897,2020-01-15,China Import
66,66,MB-SK367,1,3074,2020-01-15,China Import
67,67,MB-SK368,1,3033,2020-01-15,China Import
68,68,MB-SK369,1,1981,2020-01-15,China Import
69,69,MB-SK370,1,2864,2020-01-15,China Import
70,70,MB-SK371,1,1287,2020-01-15,China Import
71,71,MB-SK372,1,3385,2020-01-15,China Import
72,72,MB-SK373,1,784,2020-01-15,China Import
73,73,MB-SK374,1,687,2020-01-15,China Import
74,74,MB-SK375,1,3208,2020-01-15,China Import
75,75,MB-SK376,1,1433,2020-01-15,China Import
76,76,MB-SK377,1,3666,2020-01-15,China Import
77,77,MB-SK378,1,1685,2020-01-15,China Import
78,78,MB-SK379,1,826,2020-01-15,China Import
79,79,MB-SK380,1,1453,2020-01-15,China Import
80,80,MB-SK381,1,913,2020-01-15,China Import
81,81,MB-SK382,1,2056,2020-01-15,China Import
82,82,MB-SK383,1,1638,2020-01-15,China Import
83,83,MB-SK384,1,2357,2020-01-15,China Import
84,84,MB-SK385,1,3103,2020-01-15,China Import
85,85,MB-SK386,1,3916,2020-01-15,China Import
86,86,MB-SK387,1,1994,2020-01-15,China Import
87,87,MB-SK388,1,1166,2020-01-15,China Import
88,88,MB-SK389,1,2016,2020-01-15,China Import
89,89,MB-SK390,1,1955,2020-01-15,China Import
90,90,MB-SK391,1,1358,2020-01-15,China Import
91,91,MB-SK392,1,3245,2020-01-15,China Import
92,92,MB-SK393,1,1593,2020-01-15,China Import
93,93,MB-SK394,1,3374,2020-01-15,China Import
94,94,MB-SK395,1,3299,2020-01-15,China Import
95,95,MB-SK396,1,3154,2020-01-15,China Import
96,96,MB-SK397,1,792,2020-01-15,China Import
97,97,MB-SK398,1,2995,2020-01-15,China Import
98,98,MB-SK399,1,3100,2020-01-15,China Import
99,99,MB-SK400,1,1200,2020-01-15,China Import
100,100,MB-SK401,1,2687,2020-01-15,China Import
101,101,MB-SK402,1,3486,2020-01-15,China Import
102,102,MB-SK403,1,1502,2020-01-15,China Import
103,103,MB-SK404,1,1169,2020-01-15,China Import
104,104,MB-SK405,1,2393,2020-01-15,China Import
105,105,MB-SK406,1,2054,2020-01-15,China Import
106,106,MB-SK407,1,1605,2020-01-15,China Import
107,107,MB-SK408,1,3121,2020-01-15,China Import
108,108,MB-SK409,1,3318,2020-01-15,China Import
109,109,MB-SK410,1,2781,2020-01-15,China Import
110,110,MB-SK411,1,1399,2020-01-15,China Import
111,111,MB-SK412,1,8313,2020-01-15,China Import
112,112,MB-SK413,1,3916,2020-01-15,China Import
113,113,MB-SK414,1,6752,2020-01-15,China Import
114,114,MB-SK415,1,3525,2020-01-15,China Import
115,115,MB-SK416,1,8168,2020-01-15,China Import
116,116,MB-SK417,1,9572,2020-01-15,China Import
117,117,MB-SK418,1,7386,2020-01-15,China Import
118,118,MB-SK419,1,771,2020-01-15,China Import
119,119,MB-SK420,1,1364,2020-01-15,China Import
120,120,MB-SK421,1,2823,2020-01-15,China Import
121,121,MB-SK422,1,3440,2020-01-15,China Import
122,122,MB-SK423,1,1788,2020-01-15,China Import
123,123,MB-SK424,1,1370,2020-01-15,China Import
124,124,MB-SK425,1,3184,2020-01-15,China Import
125,125,MB-SK426,1,2544,2020-01-15,China Import
126,1,MB-SK302,1,7266,2020-03-27,China Import
127,2,MB-SK303,1,5758,2020-03-27,China Import
128,3,MB-SK304,1,3170,2020-03-27,China Import
129,4,MB-SK305,1,4169,2020-03-27,China Import
130,5,MB-SK306,1,3143,2020-03-27,China Import
131,6,MB-SK307,1,4020,2020-03-27,China Import
132,7,MB-SK308,1,6598,2020-03-27,China Import
133,8,MB-SK309,1,6415,2020-03-27,China Import
134,9,MB-SK310,1,4152,2020-03-27,China Import
135,10,MB-SK311,1,6788,2020-03-27,China Import
136,11,MB-SK312,1,5509,2020-03-27,China Import
137,12,MB-SK313,1,6780,2020-03-27,China Import
138,13,MB-SK314,1,5271,2020-03-27,China Import
139,14,MB-SK315,1,4965,2020-03-27,China Import
140,15,MB-SK316,1,3796,2020-03-27,China Import
141,16,MB-SK317,1,3133,2020-03-27,China Import
142,17,MB-SK318,1,6174,2020-03-27,China Import
143,18,MB-SK319,1,6042,2020-03-27,China Import
144,19,MB-SK320,1,2744,2020-03-27,China Import
145,20,MB-SK321,1,2385,2020-03-27,China Import
146,21,MB-SK322,1,2898,2020-03-27,China Import
147,22,MB-SK323,1,3252,2020-03-27,China Import
148,23,MB-SK324,1,7140,2020-03-27,China Import
149,24,MB-SK325,1,3310,2020-03-27,China Import
150,25,MB-SK326,1,7574,2020-03-27,China Import
151,26,MB-SK327,1,5458,2020-03-27,China Import
152,27,MB-SK328,1,6885,2020-03-27,China Import
153,28,MB-SK329,1,2520,2020-03-27,China Import
154,29,MB-SK330,1,5152,2020-03-27,China Import
155,30,MB-SK331,1,5126,2020-03-27,China Import
156,31,MB-SK332,1,6881,2020-03-27,China Import
157,32,MB-SK333,1,5834,2020-03-27,China Import
158,33,MB-SK334,1,2667,2020-03-27,China Import
159,34,MB-SK335,1,1529,2020-03-27,China Import
160,35,MB-SK336,1,2766,2020-03-27,China Import
161,36,MB-SK337,1,547,2020-03-27,China Import
162,37,MB-SK338,1,3286,2020-03-27,China Import
163,38,MB-SK339,1,3452,2020-03-27,China Import
164,39,MB-SK340,1,969,2020-03-27,China Import
165,40,MB-SK341,1,3292,2020-03-27,China Import
166,41,MB-SK342,1,2699,2020-03-27,China Import
167,42,MB-SK343,1,3575,2020-03-27,China Import
168,43,MB-SK344,1,1592,2020-03-27,China Import
169,44,MB-SK345,1,3648,2020-03-27,China Import
170,45,MB-SK346,1,3125,2020-03-27,China Import
171,46,MB-SK347,1,1893,2020-03-27,China Import
172,47,MB-SK348,1,956,2020-03-27,China Import
173,48,MB-SK349,1,1702,2020-03-27,China Import
174,49,MB-SK350,1,2280,2020-03-27,China Import
175,50,MB-SK351,1,1147,2020-03-27,China Import
176,51,MB-SK352,1,2358,2020-03-27,China Import
177,52,MB-SK353,1,513,2020-03-27,China Import
178,53,MB-SK354,1,3457,2020-03-27,China Import
179,54,MB-SK355,1,3447,2020-03-27,China Import
180,55,MB-SK356,1,1578,2020-03-27,China Import
181,56,MB-SK357,1,2550,2020-03-27,China Import
182,57,MB-SK358,1,3620,2020-03-27,China Import
183,58,MB-SK359,1,1231,2020-03-27,China Import
184,59,MB-SK360,1,2579,2020-03-27,China Import
185,60,MB-SK361,1,935,2020-03-27,China Import
186,61,MB-SK362,1,3061,2020-03-27,China Import
187,62,MB-SK363,1,1722,2020-03-27,China Import
188,63,MB-SK364,1,3947,2020-03-27,China Import
189,64,MB-SK365,1,3117,2020-03-27,China Import
190,65,MB-SK366,1,2579,2020-03-27,China Import
191,66,MB-SK367,1,2994,2020-03-27,China Import
192,67,MB-SK368,1,1314,2020-03-27,China Import
193,68,MB-SK369,1,1126,2020-03-27,China Import
194,69,MB-SK370,1,2031,2020-03-27,China Import
195,70,MB-SK371,1,3623,2020-03-27,China Import
196,71,MB-SK372,1,1161,2020-03-27,China Import
197,72,MB-SK373,1,2709,2020-03-27,China Import
198,73,MB-SK374,1,3689,2020-03-27,China Import
199,74,MB-SK375,1,2672,2020-03-27,China Import
200,75,MB-SK376,1,502,2020-03-27,China Import
201,76,MB-SK377,1,2953,2020-03-27,China Import
202,77,MB-SK378,1,1827,2020-03-27,China Import
203,78,MB-SK379,1,2501,2020-03-27,China Import
204,79,MB-SK380,1,579,2020-03-27,China Import
205,80,MB-SK381,1,958,2020-03-27,China Import
206,81,MB-SK382,1,1986,2020-03-27,China Import
207,82,MB-SK383,1,3906,2020-03-27,China Import
208,83,MB-SK384,1,3804,2020-03-27,China Import
209,84,MB-SK385,1,1759,2020-03-27,China Import
210,85,MB-SK386,1,1480,2020-03-27,China Import
211,86,MB-SK387,1,737,2020-03-27,China Import
212,87,MB-SK388,1,1486,2020-03-27,China Import
213,88,MB-SK389,1,2823,2020-03-27,China Import
214,89,MB-SK390,1,822,2020-03-27,China Import
215,90,MB-SK391,1,850,2020-03-27,China Import
216,91,MB-SK392,1,3497,2020-03-27,China Import
217,92,MB-SK393,1,2490,2020-03-27,China Import
218,93,MB-SK394,1,3842,2020-03-27,China Import
219,94,MB-SK395,1,783,2020-03-27,China Import
220,95,MB-SK396,1,3615,2020-03-27,China Import
221,96,MB-SK397,1,2681,2020-03-27,China Import
222,97,MB-SK398,1,3636,2020-03-27,China Import
223,98,MB-SK399,1,1015,2020-03-27,China Import
224,99,MB-SK400,1,1025,2020-03-27,China Import
225,100,MB-SK401,1,3202,2020-03-27,China Import
226,101,MB-SK402,1,2446,2020-03-27,China Import
227,102,MB-SK403,1,2751,2020-03-27,China Import
228,103,MB-SK404,1,1176,2020-03-27,China Import
229,104,MB-SK405,1,1585,2020-03-27,China Import
230,105,MB-SK406,1,2661,2020-03-27,China Import
231,106,MB-SK407,1,2984,2020-03-27,China Import
232,107,MB-SK408,1,2233,2020-03-27,China Import
233,108,MB-SK409,1,1367,2020-03-27,China Import
234,109,MB-SK410,1,2708,2020-03-27,China Import
235,110,MB-SK411,1,3593,2020-03-27,China Import
236,111,MB-SK412,1,6295,2020-03-27,China Import
